ORGANISATION_TITLE,COUNT_UNIT_ENROLEMENT,UNLIMITED_ENRLEMENTS,Partner_Category
University of Oslo,142805,918,International
"FIND, the global alliance for diagnostics",27254,392,
Association for Continence Advice,4894,160,Healthcare
Accenture Skills to Succeed (Ireland),158,0,
Coventry University (TechUP Women),79,0,
Accenture Skills to Succeed and Bright Ideas Trust,136,0,
Kaplan,0,0,
[Test] University of Life,0,0,
Purdue University,231689,1933,US & Australia
Wellcome Connecting Science,135384,1,
The British Film Institute (BFI),68042,511,Arts & Fashion Institute
ATC Training,3308,119,"Industry, Gov & NGO"
Lean 6 Services,974,72,"Industry, Gov & NGO"
University of Bergen,57863,570,International
The Open University (private course for University of Sydney),1965,0,
Accenture Skills to Succeed and North East Local Enterprise Partnership ,516,0,
The Open University (TechUP Women),157,0,
LKS Faculty of Medicine Hong Kong University,2,0,
University of Leeds,2698928,15643,UK Russell Group
Queen's University Belfast,47195,3,
Digital Marketing Institute,2959,95,"Industry, Gov & NGO"
Global Diplomatic Forum,457,0,
Founders Factory,78,0,
The University of Sheffield,964163,4994,UK Russell Group
Condé Nast College ,470,0,
Foundation for Rare Diseases ,2688,103,
Bailey and French,24,0,
Fashion Revolution,34317,200,Arts & Fashion Institute
EIT,6891,168,"Industry, Gov & NGO"
Centre Pompidou ,4767,146,
The EntrepreneurNOW! Network (ENN),880,46,"Industry, Gov & NGO"
Welltodo,205,0,
UEA (University of East Anglia),793370,5955,Other UK
"Goldsmiths, University of London ",42321,242,
International Confederation of Societies of Authors and Composers (CISAC),30208,323,Arts & Fashion Institute
Within by Savoir-Relier,316,0,
The Left Bank,290,0,
Amity University,25,0,
University College Cork ,5,0,
UNSW Sydney,108922,178,US & Australia
Middlesex University Business School,52299,29,Other UK
Università della Svizzera Italiana (USI),5041,146,International
New York Institute of Finance,3815,63,US & Australia
The Black Curriculum,3650,95,Arts & Fashion Institute
HKU School of Professional and Continuing Education,4412,146,International
Manchester Grammar School ,796,72,
UNSW Canberra,31075,2,
College of Law,23559,128,
The Alliance for Child Protection in Humanitarian Action ,6820,0,
Graduate Coach,4377,67,Independent Education
NHS Employers,2997,87,Healthcare
Concord College,280,0,
Irish Distillers Induction,5,0,
Universidad Nacional Autónoma de México (UNAM),1,0,
Engineering Institute of Technology,0,0,
Cambridge Assessment English,914456,1112,Language Institute
"Royal Holloway, University of London ",60754,1131,
Common Purpose,34978,0,
Colorado State University,22967,86,US & Australia
IMD International Institute for Management Development,283,0,
Edinburgh Napier University,3302,70,Other UK
The University of Law,32768,1018,Other UK
Eindhoven University of Technology,23325,128,International
EIT Manufacturing,1494,63,"Industry, Gov & NGO"
Murdoch University,31761,111,US & Australia
Université Libre de Bruxelles,8030,49,
D&AD,38465,0,
BMJ,9375,0,
Swedish University of Agricultural Sciences (SLU),4037,50,International
Aga Khan Trust for Culture,3595,53,"Industry, Gov & NGO"
Johns Hopkins University,24593,310,US & Australia
UAL Creative Computing Institute,59047,326,Independent Education
E-Infuse,5869,0,
"Darden School of Business, University of Virginia (TechUP Women)",40,0,
The Career Academy,1,0,
National Tsing Hua University (NTHU),19182,242,International
Government Digital Service,21534,223,"Industry, Gov & NGO"
The Mind Lab,4313,188,US & Australia
Commonwealth Scholarship Commission,1798,0,
BBC Gardeners' World Magazine,634,30,
Institut Français de la Mode (IFM),158548,279,Arts & Fashion Institute
Chartered Institute of Building Academy,31872,632,"Industry, Gov & NGO"
EC-Council,798,0,
The Commonwealth,3,0,
Newcastle University,200462,1035,UK Russell Group
Education and Training Foundation (ETF),19929,0,
Law Society of Scotland,6967,8,
Saïd Business School,0,0,
University of Exeter,403981,5965,UK Russell Group
University of Cape Town,192464,1777,International
Emergency Planning College (EPC),5847,149,
École Nationale de l'Aviation Civile,13839,10,
The University of Manchester,44156,746,UK Russell Group
Royal College of Physicians,2511,0,
Stellenbosch University,4100,0,
The Institute for Drone Technology,808,54,"Industry, Gov & NGO"
University of Groningen - Understanding the GDPR ,38,0,
Huawei,0,0,
National Film and Television School,182259,282,Arts & Fashion Institute
Royal Observatory Greenwich,33232,570,Other UK
Kogod School of Business at American University,6315,6,
Nankai University,8924,212,International
University College London,309,0,
British Council,6530463,5062,Language Institute
Yad Vashem,28981,601,International
