ORGANISATION_TITLE,COUNT_UNIT_ENROLEMENT,UNLIMITED_ENRLEMENTS
University of Oslo,142805,918
"FIND, the global alliance for diagnostics",27254,392
Association for Continence Advice,4894,160
Accenture Skills to Succeed (Ireland),158,0
Coventry University (TechUP Women),79,0
Accenture Skills to Succeed and Bright Ideas Trust,136,0
Kaplan,0,0
[Test] University of Life,0,0
Purdue University,231689,1933
Wellcome Connecting Science,135384,1
The British Film Institute (BFI),68042,511
ATC Training,3308,119
Lean 6 Services,974,72
University of Bergen,57863,570
The Open University (private course for University of Sydney),1965,0
Accenture Skills to Succeed and North East Local Enterprise Partnership ,516,0
The Open University (TechUP Women),157,0
LKS Faculty of Medicine Hong Kong University,2,0
University of Leeds,2698928,15643
Queen's University Belfast,47195,3
Digital Marketing Institute,2959,95
Global Diplomatic Forum,457,0
Founders Factory,78,0
The University of Sheffield,964163,4994
Condé Nast College ,470,0
Foundation for Rare Diseases ,2688,103
Bailey and French,24,0
Fashion Revolution,34317,200
EIT,6891,168
Centre Pompidou ,4767,146
The EntrepreneurNOW! Network (ENN),880,46
Welltodo,205,0
UEA (University of East Anglia),793370,5955
"Goldsmiths, University of London ",42321,242
International Confederation of Societies of Authors and Composers (CISAC),30208,323
Within by Savoir-Relier,316,0
The Left Bank,290,0
Amity University,25,0
University College Cork ,5,0
UNSW Sydney,108922,178
Middlesex University Business School,52299,29
Università della Svizzera Italiana (USI),5041,146
New York Institute of Finance,3815,63
The Black Curriculum,3650,95
HKU School of Professional and Continuing Education,4412,146
Manchester Grammar School ,796,72
UNSW Canberra,31075,2
College of Law,23559,128
The Alliance for Child Protection in Humanitarian Action ,6820,0
Graduate Coach,4377,67
NHS Employers,2997,87
Concord College,280,0
Irish Distillers Induction,5,0
Universidad Nacional Autónoma de México (UNAM),1,0
Engineering Institute of Technology,0,0
Cambridge Assessment English,914456,1112
"Royal Holloway, University of London ",60754,1131
Common Purpose,34978,0
Colorado State University,22967,86
IMD International Institute for Management Development,283,0
