SLUG,PROMOTED_RUN_TITLE,ORGANISATION_TITLE,BUSINESS_MODEL,COUNT_UNIT_ENROLEMENT,UNLIMITED_ENRLEMENTS
starting-a-business-3,Starting a Business 3: Customers and Competitors,University of Leeds,UpgradedAccess,50617,272
introduction-to-forensic-science,Introduction to Forensic Science,University of Strathclyde,UpgradedAccess,125766,535
precalculus,Precalculus,University of Padova,UpgradedAccess,20732,196
bookkeeping-financial-accounting,Bookkeeping for Personal and Business Accounting,The Open University,UpgradedAccess,81244,297
heart-and-circulatory-diseases,It Starts with Your Heart: Understanding Heart and Circulatory Diseases,British Heart Foundation,UpgradedAccess,10474,284
online-learning,How to Learn Online: Getting Started,The Open University,UpgradedAccess,50727,164
wellington-and-waterloo,Wellington and the Battle of Waterloo,University of Southampton,UpgradedAccess,7913,7
consumer-behaviour-and-psychology,Consumer Behaviour and Psychology,Coventry University,UpgradedAccess,17954,321
digital-storytelling,Digital Storytelling,University of Birmingham,NoPurchase,68409,0
advanced-machine-learning,Advanced Machine Learning,The Open University,UpgradedAccess,5338,17
introduction-to-financial-accounting-organizations-decisions-through-numbers,Introduction to Financial Accounting,University of Padova,UpgradedAccess,11299,164
data-science-real-world-evidence,Data Science for Healthcare: Using Real World Evidence,EIT InnoEnergy,UpgradedAccess,1290,1
managing-covid-19-in-primary-care,Managing COVID-19 in Primary Care,"St George's, University of London",UpgradedAccess,27938,462
understanding-global-development-management,Understanding Global Development Management,The Open University,UpgradedAccess,3300,133
slavery,Ending Slavery,The University of Nottingham,UpgradedAccess,8425,0
modern-korean-history,Modern Korean History,Yonsei University,NoPurchase,8185,0
pandemics-modelling-and-policy,"COVID-19: Pandemics, Modelling, and Policy",UNESCO UNITWIN Complex Systems Digital Campus,UpgradedAccess,6882,235
ocean-science-in-action-addressing-marine-ecosystems-and-food-security-in-the-western-indian-ocean,Ocean Science in Action: Addressing Marine Ecosystems and Food Security,National Oceanography Centre,UpgradedAccess,3311,116
media-literacy-representation,Understanding Media: Introduction to Media Literacy and Representation,The University of Newcastle Australia,UpgradedAccess,2638,76
personalized-medicine,Using Personalized Medicine and Pharmacogenetics,UEA (University of East Anglia),UpgradedAccess,3883,41
secure-android-app-development,Secure Android App Development,University of Southampton,NoPurchase,7104,0
sit718-1,SIT718.1 Introduction to Data Analysis,Deakin University,NoPurchase,1363,0
solar-pv,Go Solar PV: The Business Potential of Solar Photovoltaics,EIT InnoEnergy,UpgradedAccess,9496,57
subject-pedagogy-professional-development-secondary,Subject Pedagogy: Professional Development,Coventry University,NoPurchase,165,0
introduccion-a-la-microbiologia-practica,Introducción a la microbiología práctica,BSAC,UpgradedAccess,413,7
be-a-dentist,Becoming a Dentist,The University of Glasgow,UpgradedAccess,494,2
depreciation-and-budgetary-control-c,Depreciation and Budgetary Control (C),Coventry University,NoPurchase,18,0
stem-ambassador-induction-south-east,STEM Ambassadors Induction - South East,STEM Ambassadors,SponsoredAccess,772,0
email-website-marketing,Master Digital Marketing: The Marketing Mix,The Left Bank,ExpertTrackAccess,50,0
transitie-oudere-kwetsbare-patient,Transitie van de kwetsbare oudere patiënt,E-Infuse,SponsoredAccess,647,0
new-economy-c,New Economy and Business Analytics (C),Coventry University,NoPurchase,181,0
leadership-and-emergency-management,Leadership and Emergency Management,Coventry University,NoPurchase,144,0
processes-methods-resourcing-talent-management,Human Resource Management: Processes and Methods of Resourcing and Talent Management,The Open University,NoPurchase,66,0
allocating-resources-c,Allocating Resources (C),Coventry University,NoPurchase,176,0
health-assessment-soh,Health Assessment in Nursing,Coventry University,NoPurchase,67,0
global-supply-chain-management-functions-c,Global Supply Chain Management Functions (C),Coventry University,NoPurchase,117,0
international-development,What is International Development?,UEA (University of East Anglia),UpgradedAccess,5955,145
epargner-et-investir,Epargner et Investir,Grenoble Ecole de Management,UpgradedAccess,8064,24
intro-to-quantum-computing,Understanding Quantum Computers,Keio University,UpgradedAccess,13197,129
construction-project-management,Construction Project Management: An Introduction,Coventry University,UpgradedAccess,2604,67
future-challenges-effective-crisis-management,Future Challenges and Maintaining Effective Crisis Management,Coventry University,NoPurchase,55,0
analysing-data-a,Analysing Data (A),Coventry University,NoPurchase,23,0
sit763-fl2,SIT763.2 Planning for Information Security,Deakin University,NoPurchase,522,0
intro-to-quantum-computing-j,量子コンピュータ入門,Keio University,UpgradedAccess,92,1
joint-contract-tribunal-c,Introduction to the Joint Contract Tribunal (JCT) (C),Coventry University,NoPurchase,57,0
bim-project-lifecycle-c,BIM - Project Lifecycle Management (C),Coventry University,NoPurchase,34,0
organ-toxicology,Organ Toxicology,Hong Kong Baptist University,NoPurchase,218,0
adh702-2,ADH702.2: International initiatives to strengthen the nexus,Deakin University,NoPurchase,102,0
stem-enthuse-partnership-coach,ENTHUSE Partnership Coach Induction,National STEM Learning Centre,SponsoredAccess,66,0
fmcs2200-1,FMCS2200.1: Taking Popular Culture Seriously,The University of Newcastle Australia,NoPurchase,191,0
dsp-mobility-ne-lep,Digital Skills: Mobility (St Joseph's Academy),Accenture Skills to Succeed and North East Local Enterprise Partnership ,NoPurchase,38,0
creativity,Creativity,Coventry University,NoPurchase,1525,0
why-research-matters-assessment,Why Research Matters: Assessment,Deakin University,NoPurchase,75,0
crm-fundamentals,CRM Fundamentals and Practice,FutureLearn,NoPurchase,82,0
ethical-legal-implications-ai,Legal and Ethical Implications in Artificial Intelligence (AI) Development,Coventry University,NoPurchase,68,0
introduction-to-nursing-science-11,Introduction to Nursing Science 11,Coventry University,NoPurchase,4,0
dsp-socialmedia-tp,Digital Skills: Social Media,Accenture Skills to Succeed and Tomorrow's People,NoPurchase,40,0
business-model-innovation-c,Business Model Innovation (C),Coventry University,NoPurchase,12,0
transitie-oudere-kwetsbare-patient-4,Transitie van de oudere kwetsbare patiënt - 4,E-Infuse,NoPurchase,17,0
sc2-research-methodology-oc,Research Methodology,Coventry University,NoPurchase,14,0
international-approaches-evolving-context-business-crisis-management-c,International Approaches and the Evolving Context of Business and Crisis Management,Coventry University,NoPurchase,12,0
digital-business-ecommerce-marketing-strategy,Digital Business E-Commerce and Marketing Strategy,Coventry University,NoPurchase,17,0
how-to-effectively-change-eating-behaviours-personalized-nutrition-and-psychological-approaches,Changing Eating Behaviours and Personalised Nutrition,EIT Food,SponsoredAccess,25,0
m193lon-02,m193lon-02,Coventry University,UpgradedAccess,4,0
entrepreneurship-from-idea-generation-to-action-private,TBC Entrepreneurship: From idea generation to action,King's College London,UpgradedAccess,12,0
managing-diverse-workforce,Managing a Diverse Workforce,Coventry University,NoPurchase,24,0
exploring-strategy-development,Exploring Strategy Development,Deakin University,NoPurchase,31,0
civic-engagement-through-digital-action,Digital Activism: Driving Social Change with Technology,Biji-biji Initiative,UpgradedAccess,0,0
estimating-oc,Estimating,Coventry University,NoPurchase,16,0
researchmethodology-healthcare-research-oc,Healthcare Research,Coventry University,NoPurchase,14,0
discrete-event-and-system-dynamics-approaches,Discrete Event and System Dynamics Approaches,Coventry University,NoPurchase,17,0
social-entrepreneurship-in-educational-technology-concept-development-prototyping,Social Entrepreneurship in Educational Technology: Concept Development and Prototyping,Johns Hopkins University,ExpertTrackAccess,1,0
stem-curriculum-learning-careers,Linking STEM Curriculum Learning to Careers,National STEM Learning Centre,UpgradedAccess,2,0
intercultural-studies-final-assessment,An Introduction to Thinking Interculturally: Final Assessment,University of Leeds,UpgradedAccess,1,0
lever-des-fonds-pour-ma-startup-private,Lever des Fonds pour ma Startup,Grenoble Ecole de Management,UpgradedAccess,0,0
delivering-your-academic-business-report-oc,Delivering Your Academic Business Report,Coventry University,NoPurchase,0,0
emergency-planning-and-preparedness-practice-oc,Emergency Planning and Preparedness Practice,Coventry University,UpgradedAccess,0,0
develop-in-swift-explorations-organizing-data,TBC Develop in Swift Explorations: Organizing Data,FutureLearn,ExpertTrackAccess,0,0
divisional-performance-ibm,Divisional Performance (IBM) DO NOT USE,Coventry University,NoPurchase,0,0
assisted-dying,Assisted Dying: Rhetorics and Reality,The University of Glasgow,UpgradedAccess,3,0
operate-a-drone-for-security-purposes,How to Use a Drone for Security Purposes,The Institute for Drone Technology,UpgradedAccess,0,0
identity-and-the-good-life-sc4,Identity and the Good Life SC4,Coventry University,UpgradedAccess,0,0
disaster-management,Introduction to Humanitarian Aid,Deakin University,UpgradedAccess,23381,165
intro-to-japanese-subculture,An Introduction to Japanese Subcultures,Keio University,UpgradedAccess,26577,229
crime-to-punishment,From Crime to Punishment,University of York,UpgradedAccess,35867,343
english-pronunciation,English Pronunciation in a Global World,Vrije Universiteit Amsterdam,UpgradedAccess,90588,453
smart-cities,Smart Cities,The Open University,UpgradedAccess,42543,55
how-to-create-great-online-content,How to Create Great Online Content,University of Leeds,ExpertTrackAccess,66133,0
teaching-practical-science-physics,Teaching Practical Science: Physics,National STEM Learning Centre,ExpertTrackAccess,10412,118
biology-basic-concepts,Why Biology Matters: Basic Concepts,Pompeu Fabra University Barcelona,UpgradedAccess,2465,28
modern-building-design,Modern Building Design,University of Bath,UpgradedAccess,23252,158
italian-for-literature,Studying in Italian - Language and Literature,Università per Stranieri di Siena (UniStraSi),UpgradedAccess,7298,13
digital-learning,Transforming Digital Learning,Deakin University,UpgradedAccess,26909,297
investing-technology,Innovations in Investment Technology: Artificial Intelligence,University of Michigan,ExpertTrackAccess,4849,98
global-governance,International Affairs: Global Governance,The Graduate Institute of International and Development Studies,UpgradedAccess,9323,41
japanese-avant-garde-art-butoh,Exploring Japanese Avant-garde Art Through Butoh Dance,Keio University,UpgradedAccess,5560,88
bacterial-genomes-access-and-analysis,Bacterial Genomes II: Accessing and Analysing Microbial Genome Data Using Artemis,Wellcome Connecting Science,SponsoredAccess,16846,0
point-prevalence-surveys,Challenges in Antibiotic Resistance: Point Prevalence Surveys,BSAC,UpgradedAccess,8921,149
concurrent-programming-erlang,Concurrent Programming in Erlang,The University of Kent,UpgradedAccess,3536,8
battle-of-dunbar-1650,Archaeology and the Battle of Dunbar 1650: From the Scottish Battlefield to the New World,Durham University,UpgradedAccess,5344,286
what-is-korean-philosophy,Introduction to Korean Philosophy,Sungkyunkwan University (SKKU) ,UpgradedAccess,4313,131
data-management-and-visualisation-data-driven-visualisations,Data Management and Visualisation: Data Driven Visualisations,Dublin City University,NoPurchase,57,0
learning-online-with-deakin,Learning online at Deakin,Deakin University,NoPurchase,1772,0
fam-pregnancy,Food as Medicine: Fertility and Pregnancy,Monash University,PaidForAccess,747,0
data-analysis-fundamentals-in-excel,Analysing Data in Excel,Filtered,UpgradedAccess,3090,102
introduction-to-haccp,Introduction to HACCP for Food Safety,International Culinary Studio,UpgradedAccess,128,1
social-enterprise-growing-a-sustainable-business,Social Enterprise: Growing a Sustainable Business,Minca Ventures,UpgradedAccess,656,38
ads701-3,"ADS701.3 Poverty, Freedom and Empowerment",Deakin University,NoPurchase,96,0
perspectives-entrepreneurship,Perspectives on Entrepreneurship,Coventry University,UpgradedAccess,564,27
lsc-private,Introduction to Catalan Sign Language,Pompeu Fabra University Barcelona,NoPurchase,726,0
software-development-fundamentals-project-management,Software Development Fundamentals: Project Management,FutureLearn,ExpertTrackAccess,123,0
effective-end-point-assessment-preparing-for-success,Effective Technical Teaching: Preparing for End-Point Assessment Success,Education and Training Foundation (ETF),SponsoredAccess,488,0
teaching-primary-science-body-processes,Teaching Primary Biology: Body Processes,National STEM Learning Centre,PaidForAccess,531,46
workforce-planning-education-ethics-c,Workforce Planning Education and Ethics (C),Coventry University,NoPurchase,138,0
distributed-ledger-technologies,Blockchain Basics and Applications: Distributed Ledger Technologies,Dublin City University,NoPurchase,83,0
digital-divide,The Digital Divide,Coventry University,NoPurchase,66,0
hass3000-2,HASS3000.2: Finding and Working with Materials,The University of Newcastle Australia,NoPurchase,117,0
teaching-primary-science-chemistry-private,Teaching Primary Science: Chemistry (P),National STEM Learning Centre,SponsoredAccess,2,0
construction-project-risk-management,Construction Project Risk Management,Coventry University,NoPurchase,47,0
7069exq-03,"Qualitative, Mixed Methods and Contemporary Issues",Coventry University,NoPurchase,77,0
mindfulness-wellbeing-performance,Mindfulness for Wellbeing and Peak Performance,Monash University,UpgradedAccess,378343,1633
education-technology-leadership-in-schools,Leadership of Education Technology in Schools,Chartered College of Teaching,UpgradedAccess,5243,157
principles-of-wealth-management,Principles of Wealth Management,Hanken School of Economics,UpgradedAccess,10518,203
investigating-innovation,Investigating Innovation,Deakin University,UpgradedAccess,8716,97
sit716-2,SIT716.2 Moving Data,Deakin University,NoPurchase,139,0
understanding-digital-comics,Making and Understanding Web Comics,University of Dundee,UpgradedAccess,937,13
the-science-of-medicines-private,The Science of Medicines,Monash University,NoPurchase,88,0
pdsafe-falls-prevention-in-parkinsons-the-therapists-approach-,PDSAFE: Physiotherapy and Falls Prevention in Parkinson's,University of Exeter,UpgradedAccess,900,44
human-resource-development-and-learning-a,Human Resource Development and Learning (A),Coventry University,NoPurchase,44,0
applying-market-conditions-c,Applying Market Conditions and the Concept of Value Adding Services (C),Coventry University,NoPurchase,119,0
emergencies-disasters-trends-issues,Emergencies and Disasters: Trends and Issues,Coventry University,UpgradedAccess,1412,96
bringing-about-change-course-1,Bringing About Change,The Open University,NoPurchase,80,0
industry-sector-analysis-resource-based-view,Industry and Sector Analysis and the Resource-based View (C),Coventry University,NoPurchase,207,0
strategic-actions-et,"Strategic Actions, Strategic Goals",Coventry University,ExpertTrackAccess,44,0
entrepreneurial-sales-understanding-your-customer,Customer,Entrepreneurial Sales Institute (ESI),NoPurchase,13,0
leadership-service-improvement-7003cpd-05,Proposing and Evaluating a Service Improvement,Coventry University,NoPurchase,68,0
class-consumption-and-youth,"SOCA1010.2: Class, Consumption and Youth: Inequality and Ideology in Everyday Life",The University of Newcastle Australia,NoPurchase,280,0
7049crb-03,"Organisational Development, Design, and Assessment of Structural Inequality",Coventry University,NoPurchase,37,0
pmtheory03,Organisational Design and Culture,Anglia Ruskin University,NoPurchase,85,0
coventry-university-online-student-induction-bim,Coventry University Online BIM Student Induction,Coventry University,NoPurchase,34,0
social-impact-in-business-private,Social Impact in Business: How to Build a Brand that Matters,Good-Loop ,SponsoredAccess,45,0
organisational-behaviour-in-construction-an-introduction-c,Organisational Behaviour in Construction: An Introduction (C),Coventry University,NoPurchase,34,0
starting-a-business-private,Starting a Business: Realise Your Vision,University of Leeds,NoPurchase,154,0
investment-valuation,MMP742.1 An Introduction to Investment Properties,Deakin University,NoPurchase,162,0
study-skills-for-evidence-based-practice,Study Skills for Evidence Based Practice,Coventry University,NoPurchase,120,0
prince-2-practitioner-course-1,PRINCE2® - 6th Edition Practitioner: A FutureLearn course by QA,QA ,NoPurchase,12,0
strategic-choices-et,Strategic Choice and Planning,Coventry University,ExpertTrackAccess,43,0
capital-markets-impacting-factors,Capital Markets: Impacting Factors,Dublin City University,UpgradedAccess,9,0
frontier-technologies-senior-leadership,Frontier Technologies: Senior Leadership,Coventry University,NoPurchase,19,0
leading-managing-team-a2,Leading and Managing a Team (A2),Coventry University,UpgradedAccess,0,0
7107exq-04-c,"Fundamentals of Budgeting, Project Control and Earned Value (C)",Coventry University,NoPurchase,14,0
dsp-digitalmarketing-cp,Digital Skills: Digital Marketing,Accenture Skills to Succeed and Centrepoint,NoPurchase,10,0
